name,geometry,lat,lon,category
Astley Ainslie Hospital,POINT (-3.198237379463264 55.92901441876509),55.92901442,-3.198237379,hospital
Spire Murrayfield Hospital,POINT (-3.2642849204760793 55.943761469174625),55.94376147,-3.26428492,hospital
Woodburn House NHS,POINT (-3.202417233501478 55.92747548723899),55.92747549,-3.202417234,hospital
Western General Hospital (Edinburgh),POINT (-3.235026189043625 55.962298482728784),55.96229848,-3.235026189,hospital
Royal Infirmary of Edinburgh (Little France),POINT (-3.1348556907200806 55.92214178202273),55.92214178,-3.134855691,hospital
Liberton Hospital,POINT (-3.154093206296295 55.90851692806309),55.90851693,-3.154093206,hospital
Royal Edinburgh Hospital,POINT (-3.21772849898747 55.927116018592585),55.92711602,-3.217728499,hospital
Midlothian Community Hospital,POINT (-3.0901318828873943 55.88040442313093),55.88040442,-3.090131883,hospital
Royal Hospital for Children and Young People,POINT (-3.1390819177938605 55.92096285453292),55.92096285,-3.139081918,hospital
Shawfair Park Hospital,POINT (-3.097672519441108 55.90878162942615),55.90878163,-3.097672519,hospital
Ellen's Glen House,POINT (-3.149500379952456 55.90951615078343),55.90951615,-3.14950038,hospital
Chalmers Centre,POINT (-3.1983865832630407 55.944539668684115),55.94453967,-3.198386583,hospital
Princess Alexandra Eye Pavilion,POINT (-3.198166887339099 55.94411929056479),55.94411929,-3.198166887,hospital
Lauriston Building,POINT (-3.1967697367683656 55.94437724762232),55.94437725,-3.196769737,hospital
Leith Community Treatment Centre,POINT (-3.176083609832893 55.97141464811225),55.97141465,-3.17608361,hospital
Findlay House,POINT (-3.1443576526418453 55.968037277056744),55.96803728,-3.144357653,hospital
Wester Hailes Library,POINT (-3.2851455 55.9162285),55.9162285,-3.2851455,library
Corstorphine Library,POINT (-3.2810362 55.9407099),55.9407099,-3.2810362,library
Musselburgh Library,POINT (-3.0563335 55.9427446),55.9427446,-3.0563335,library
Playfair Library,POINT (-3.1869088 55.9472046),55.9472046,-3.1869088,library
Craigmillar Library,POINT (-3.1367474 55.9331942),55.9331942,-3.1367474,library
Lasswade Library,POINT (-3.1137959 55.8717713),55.8717713,-3.1137959,library
Sighthill Library,POINT (-3.2875585 55.9201125),55.9201125,-3.2875585,library
Leith Public Library,POINT (-3.1800469 55.9754823),55.9754823,-3.1800469,library
Moray House Library,POINT (-3.1808417 55.9506224),55.9506224,-3.1808417,library
Edinburgh Napier Merchiston Library,POINT (-3.2128229 55.9334673),55.9334673,-3.2128229,library
Advocates Library,POINT (-3.1915551 55.9488724),55.9488724,-3.1915551,library
South Neighbourhood Office and Library,POINT (-3.1531137 55.9028613),55.9028613,-3.1531137,library
Loanhead Library,POINT (-3.1535729 55.8796264),55.8796264,-3.1535729,library
Artiscience Library,POINT (-3.1818686 55.939691),55.939691,-3.1818686,library
Edinburgh College of Art Library,POINT (-3.2005191 55.9460774),55.9460774,-3.2005191,library
Central Children's Library,POINT (-3.1924454 55.9484985),55.9484985,-3.1924454,library
Edinburgh Law School Library,POINT (-3.1876627 55.9476338),55.9476338,-3.1876627,library
Signet Library,POINT (-3.1916095 55.9491104),55.9491104,-3.1916095,library
Newbattle Library,POINT (-3.0485666 55.87442),55.87442,-3.0485666,library
Granton Library,POINT (-3.2267667 55.9767277),55.9767277,-3.2267667,library
Danderhall Library,POINT (-3.1102172 55.9162181),55.9162181,-3.1102172,library
New College Library,POINT (-3.1949634 55.949736),55.949736,-3.1949634,library
Sighthill Learning Resource Centre (LRC),POINT (-3.2880002 55.9246932),55.9246932,-3.2880002,library
Dalkeith Library,POINT (-3.070264126611174 55.89286101081005),55.89286101,-3.070264127,library
Blackhall Library,POINT (-3.260969430153263 55.96164590290974),55.9616459,-3.26096943,library
Edinburgh University Library,POINT (-3.1889897474849724 55.94266114068956),55.94266114,-3.188989747,library
Moredun Library,POINT (-3.1349496316016907 55.91345708854279),55.91345709,-3.134949632,library
Fountainbridge Library,POINT (-3.218358857201007 55.940107818190256),55.94010782,-3.218358857,library
Currie Library,POINT (-3.311059707248593 55.89609792060965),55.89609792,-3.311059707,library
Map Library,POINT (-3.179831189475281 55.93663050768563),55.93663051,-3.179831189,library
Cameron Smail Library,POINT (-3.32216653072328 55.90876592789616),55.90876593,-3.322166531,library
Piershill Library,POINT (-3.1422678562276953 55.955037288163524),55.95503729,-3.142267856,library
Scottish Poetry Library,POINT (-3.1780988657695084 55.95144549737081),55.9514455,-3.178098866,library
Central Library,POINT (-3.1924953931233393 55.94828811614892),55.94828812,-3.192495393,library
National Library of Scotland,POINT (-3.1917015733152065 55.94857470984755),55.94857471,-3.191701573,library
Newington Library,POINT (-3.179735895200157 55.93208040091534),55.9320804,-3.179735895,library
Morningside Library,POINT (-3.209940930678331 55.92889298044169),55.92889298,-3.209940931,library
Balgreen Library,POINT (-3.2484231343317407 55.93725887445561),55.93725887,-3.248423134,library
McDonald Road Library,POINT (-3.1813889588366866 55.961345622416246),55.96134562,-3.181388959,library
Newtongrange Library,POINT (-3.0658300500000006 55.86672505),55.86672505,-3.06583005,library
Noreen and Kenneth Murray Library,POINT (-3.1749765947199737 55.9229046080503),55.92290461,-3.174976595,library
Colinton Library,POINT (-3.251408978477996 55.906724811558796),55.90672481,-3.251408978,library
The Drumbrae Library Hub,POINT (-3.2870349845715943 55.95538391541133),55.95538392,-3.287034985,library
Stockbridge Library,POINT (-3.207839007180807 55.95891962390747),55.95891962,-3.207839007,library
Gilmerton Library,POINT (-3.134191234876291 55.905313450389094),55.90531345,-3.134191235,library
Portobello Library,POINT (-3.116759643634297 55.953372706575216),55.95337271,-3.116759644,library
RBGE Herbarium & Library,POINT (-3.2057192237738876 55.96651861504131),55.96651862,-3.205719224,library
Oxgangs Library,POINT (-3.223430257696387 55.905290960010504),55.90529096,-3.223430258,library
Library of Mistakes,POINT (-3.213323145213965 55.95050315147546),55.95050315,-3.213323145,library
Pirniehall Primary School,POINT (-3.2510739 55.9737056),55.9737056,-3.2510739,school
Fettes College Preparatory School,POINT (-3.2259783 55.9666246),55.9666246,-3.2259783,school
Haywired,POINT (-3.1233362 55.9344588),55.9344588,-3.1233362,school
St David's RC Primary School,POINT (-3.2505865 55.9737343),55.9737343,-3.2505865,school
Mannafields Christian School,POINT (-3.171037 55.9609479),55.9609479,-3.171037,school
St Andrew's First Aid,POINT (-3.1719622 55.9768772),55.9768772,-3.1719622,school
Caledonian Language School,POINT (-3.2137763 55.9471277),55.9471277,-3.2137763,school
BSC Edinburgh,POINT (-3.1994168 55.9529392),55.9529392,-3.1994168,school
Spark of Genius Musselburgh Learning Centre,POINT (-3.0674452 55.9430316),55.9430316,-3.0674452,school
Broomhouse Primary School,POINT (-3.2737099 55.9284829),55.9284829,-3.2737099,school
St Joseph's RC Primary School,POINT (-3.2737141 55.9283187),55.9283187,-3.2737141,school
Fox Covert Primary School,POINT (-3.2797797 55.952496),55.952496,-3.2797797,school
St Andrew's Fox Covert RC Primary School,POINT (-3.2797668 55.9523307),55.9523307,-3.2797668,school
