shop_name,lat,lon
BONK & CO LTD,55.956249092410815,-3.167235911454824
Caf‚ at the Palace,55.952833983379065,-3.17392356335458
Queen's Gallery Shop,55.95251136319345,-3.173833722752235
vacant,55.9544725243082,-3.1735887823046207
Click Printwear,55.954258020399216,-3.1486777989195343
Karens Unicorn,55.95691019941061,-3.1938918949685293
vacant,55.97032011280733,-3.1700950511782726
The Devil's Advocate,55.950291908048136,-3.191622339688488
The Magnum,55.956756264313945,-3.1930863129511926
Alex Kirkwood and Sons,55.95690882346639,-3.19217804286149
Charles Kivlin Hair Studio,55.95701552476117,-3.1932224255487838
Serap Couture,55.95703395553543,-3.1931749417968502
Golden Ambal,55.96250010124605,-3.1788618022438766
Helen Dean,55.962445438190294,-3.1789402359291326
Eastern Masala,55.96240920042899,-3.178971172269305
Albert Business Centre,55.96229104454753,-3.1791117510935973
Star Premier,55.96235469053949,-3.179033591144663
Sandwich Express,55.96225465349439,-3.179158701582529
Bharsa Boutique,55.96222739850651,-3.179189910786728
Silver Bowl,55.962191007423854,-3.1792368611256685
Airlink Travel (Scotland) Ltd.,55.962154616323474,-3.1792838113767132
The Tail End,55.962109089104615,-3.179346502659311
Black Fox,55.96202732397619,-3.179440129395609
Sauna,55.9619199898956,-3.179388807238072
Haze Vapours,55.96196337113197,-3.179550316638065
Urban Tech,55.961936116045884,-3.1795815253340605
Tailor,55.961908860951986,-3.1796127339863443
Smart Buzz,55.9618814525366,-3.1796599568687327
Glam,55.96184521459631,-3.179690892091221
The Cutting Room,55.961817806151295,-3.1797381148410704
Fair Trade Coffe Shop,55.96174502355471,-3.1798320134152225
Word of Mouth,55.96249310999785,-3.178653340194204
Randall Associates,55.96243946159579,-3.176745428531201
Rajjah's Supermarket,55.96243353708314,-3.1764248655012177
W.W. & J. Borland,55.962428223134324,-3.1760402444775515
vacant,55.962338935883395,-3.1712638397631183
vacant,55.962712833162215,-3.178227499745673
vacant,55.96271329254294,-3.178179455869124
Sicilian Pastry Shop,55.96271436435847,-3.178067353485068
Ben Stores,55.96270675942604,-3.177922948906945
Khyber Kebabs,55.96270767793127,-3.177826861156983
Graham Cherrie,55.962708137155815,-3.177778817279906
Icosis,55.96275442887749,-3.1776360499596046
Juding,55.96275442887749,-3.1776360499596046
vacant,55.96275442887749,-3.1776360499596046
Stone Restore,55.96259957961597,-3.1731459629019674
vacant,55.96259196891125,-3.1730015596372483
vacant,55.962593950596634,-3.1727933697542787
S & J Albert Stores,55.96258055667613,-3.1723123882039466
Red Triangle Solutions,55.9625814708065,-3.172216300573498
Holt Insulation Ltd.,55.96256213709018,-3.171414755838774
The Office,55.96256365943266,-3.1712546098096337
