lat,lon,type,name
55.876553,-3.337358,bus,
55.879769,-3.339067,bus,
55.883204,-3.338866,bus,
55.884161,-3.337556,bus,
55.88593,-3.340175,bus,
55.888366,-3.3385,bus,
55.890287,-3.3295,bus,
55.892047,-3.322924,bus,
55.893188,-3.319637,bus,
55.894496,-3.314964,bus,
55.895439,-3.312485,bus,
55.896428,-3.309,bus,
55.89776,-3.313859,bus,
55.899743,-3.315861,bus,
55.901014,-3.318879,bus,
55.907688,-3.320753,bus,
55.898734,-3.313556,bus,
55.90116,-3.310167,bus,
55.903727,-3.311309,bus,
55.910049,-3.317634,bus,
55.909018,-3.319902,bus,
55.910284,-3.317498,bus,
55.912212,-3.324507,bus,
55.912834,-3.32856,bus,
55.914739,-3.324353,bus,
55.91733,-3.314009,bus,
55.908273,-3.368365,bus,
55.912056,-3.355347,bus,
55.917579,-3.320065,bus,
55.917952,-3.31467,bus,
55.921536,-3.296084,bus,
55.923208,-3.291755,bus,
55.926845,-3.293668,bus,
55.927042,-3.294587,bus,
55.928017,-3.292507,bus,
55.927261,-3.307046,bus,
55.928041,-3.299614,bus,
55.929461,-3.286697,bus,
55.932934,-3.306725,bus,
55.931285,-3.305549,bus,
55.929824,-3.302587,bus,
55.927653,-3.30818,bus,
55.930126,-3.299588,bus,
55.930745,-3.296215,bus,
55.93804,-3.314998,bus,
55.938248,-3.314861,bus,
55.938296,-3.31459,bus,
55.938138,-3.314233,bus,
55.937866,-3.31448,bus,
55.937811,-3.314606,bus,
55.93795,-3.318357,bus,
55.934285,-3.303969,bus,
55.934706,-3.315925,bus,
55.933187,-3.313441,bus,
55.933194,-3.309375,bus,
55.933562,-3.300087,bus,
55.933102,-3.297639,bus,
55.931196,-3.292613,bus,
55.929867,-3.291704,bus,
55.919158,-3.288948,bus,
55.908424,-3.284289,bus,
55.909281,-3.289148,bus,
55.910901,-3.291458,bus,
55.914493,-3.286505,bus,
55.912796,-3.284673,bus,
55.911319,-3.280689,bus,
55.917642,-3.280929,bus,
55.916445,-3.278554,bus,
55.914095,-3.276412,bus,
55.911966,-3.277222,bus,
55.909959,-3.274053,bus,
55.910636,-3.271195,bus,
55.913074,-3.270843,bus,
55.913106,-3.275596,bus,
55.910963,-3.279493,bus,
55.911739,-3.281742,bus,
55.912841,-3.284659,bus,
55.917505,-3.276876,bus,
55.918365,-3.273608,bus,
55.920049,-3.272432,bus,
55.921512,-3.271711,bus,
55.920125,-3.27637,bus,
55.919959,-3.28195,bus,
