demand_type,weight_multiplier,test_weight,n_stations,gross_welfare,net_welfare,overall_coverage_rate,type_covered,type_total,type_coverage_rate,type_welfare
bus_stop,0.25,0,36,2333.702836255251,1433.702836255251,0.027394672208577366,11,3794,0.0028993147074327886,0
bus_stop,0.5,0,36,2333.702836255251,1433.702836255251,0.027394672208577366,11,3794,0.0028993147074327886,0
bus_stop,0.75,0,36,2333.702836255251,1433.702836255251,0.027394672208577366,11,3794,0.0028993147074327886,0
bus_stop,1.0,1,36,2369.702836255251,1469.702836255251,0.03117324768562252,29,3794,0.007643647865050079,29
bus_stop,1.5,1,36,2369.702836255251,1469.702836255251,0.03117324768562252,29,3794,0.007643647865050079,29
bus_stop,2.0,2,36,2397.0304914376984,1497.0304914376984,0.030984318911770264,34,3794,0.008961518186610437,68
bus_stop,3.0,3,37,2457.0304914376984,1532.0304914376984,0.031551105233327034,39,3794,0.010279388508170796,117
bus_stop,4.0,4,38,2522.0304914376984,1572.0304914376984,0.03211789155488381,40,3794,0.010542962572482868,160
tram_stop,0.25,0,36,2358.702836255251,1458.702836255251,0.03117324768562252,3,25,0.12,0
tram_stop,0.5,1,36,2361.702836255251,1461.702836255251,0.03117324768562252,3,25,0.12,3
tram_stop,0.75,2,36,2365.702836255251,1465.702836255251,0.03117324768562252,4,25,0.16,8
tram_stop,1.0,3,36,2369.702836255251,1469.702836255251,0.03117324768562252,4,25,0.16,12
tram_stop,1.5,4,36,2373.702836255251,1473.702836255251,0.03117324768562252,4,25,0.16,16
tram_stop,2.0,6,36,2381.702836255251,1481.702836255251,0.03117324768562252,4,25,0.16,24
tram_stop,3.0,9,36,2393.702836255251,1493.702836255251,0.03117324768562252,4,25,0.16,36
tram_stop,4.0,12,36,2405.702836255251,1505.702836255251,0.03117324768562252,4,25,0.16,48
train_station,0.25,12,27,1795.5232234217078,1120.5232234217078,0.024371811826941245,2,13,0.15384615384615385,24
train_station,0.5,25,36,2094.702836255251,1194.702836255251,0.03117324768562252,11,13,0.8461538461538461,275
train_station,0.75,37,36,2226.702836255251,1326.702836255251,0.03117324768562252,11,13,0.8461538461538461,407
train_station,1.0,50,36,2369.702836255251,1469.702836255251,0.03117324768562252,11,13,0.8461538461538461,550
train_station,1.5,75,36,2644.702836255251,1744.702836255251,0.03117324768562252,11,13,0.8461538461538461,825
train_station,2.0,100,36,2919.702836255251,2019.702836255251,0.03117324768562252,11,13,0.8461538461538461,1100
train_station,3.0,150,36,3469.702836255251,2569.702836255251,0.03117324768562252,11,13,0.8461538461538461,1650
train_station,4.0,200,36,4019.702836255251,3119.702836255251,0.03117324768562252,11,13,0.8461538461538461,2200
park_ride,0.25,20,32,1982.702836255251,1182.702836255251,0.0294728887209522,1,7,0.14285714285714285,20
park_ride,0.5,40,36,2169.702836255251,1269.702836255251,0.03117324768562252,5,7,0.7142857142857143,200
park_ride,0.75,60,36,2269.702836255251,1369.702836255251,0.03117324768562252,5,7,0.7142857142857143,300
park_ride,1.0,80,36,2369.702836255251,1469.702836255251,0.03117324768562252,5,7,0.7142857142857143,400
park_ride,1.5,120,36,2569.702836255251,1669.702836255251,0.03117324768562252,5,7,0.7142857142857143,600
park_ride,2.0,160,36,2769.702836255251,1869.702836255251,0.03117324768562252,5,7,0.7142857142857143,800
park_ride,3.0,240,36,3169.702836255251,2269.702836255251,0.03117324768562252,5,7,0.7142857142857143,1200
park_ride,4.0,320,36,3569.702836255251,2669.702836255251,0.03117324768562252,5,7,0.7142857142857143,1600
hospital,0.25,12,26,1677.0304914376984,1027.0304914376984,0.0245607406007935,4,16,0.25,48
hospital,0.5,25,34,1969.702836255251,1119.702836255251,0.030795390137918006,12,16,0.75,300
hospital,0.75,37,36,2187.702836255251,1287.702836255251,0.03117324768562252,14,16,0.875,518
hospital,1.0,50,36,2369.702836255251,1469.702836255251,0.03117324768562252,14,16,0.875,700
hospital,1.5,75,36,2719.702836255251,1819.702836255251,0.03117324768562252,14,16,0.875,1050
hospital,2.0,100,36,3069.702836255251,2169.702836255251,0.03117324768562252,14,16,0.875,1400
hospital,3.0,150,36,3769.702836255251,2869.702836255251,0.03117324768562252,14,16,0.875,2100
hospital,4.0,200,36,4469.702836255251,3569.702836255251,0.03117324768562252,14,16,0.875,2800
