demand_type,weight_multiplier,gross_welfare,test_weight,n_stations,gross_welfare,overall_coverage_rate,type_covered,type_total,type_coverage_rate,type_welfare
bus_stop,0.25,2333.702836,0,36,2333.702836,0.027394672,11,3794,0.002899315,0
bus_stop,0.5,2333.702836,0,36,2333.702836,0.027394672,11,3794,0.002899315,0
bus_stop,0.75,2333.702836,0,36,2333.702836,0.027394672,11,3794,0.002899315,0
bus_stop,1,2369.702836,1,36,2369.702836,0.031173248,29,3794,0.007643648,29
bus_stop,1.5,2369.702836,1,36,2369.702836,0.031173248,29,3794,0.007643648,29
bus_stop,2,2397.030491,2,36,2397.030491,0.030984319,34,3794,0.008961518,68
bus_stop,3,2457.030491,3,37,2457.030491,0.031551105,39,3794,0.010279389,117
bus_stop,4,2522.030491,4,38,2522.030491,0.032117892,40,3794,0.010542963,160
tram_stop,0.25,2358.702836,0,36,2358.702836,0.031173248,3,25,0.12,0
tram_stop,0.5,2361.702836,1,36,2361.702836,0.031173248,3,25,0.12,3
tram_stop,0.75,2365.702836,2,36,2365.702836,0.031173248,4,25,0.16,8
tram_stop,1,2369.702836,3,36,2369.702836,0.031173248,4,25,0.16,12
tram_stop,1.5,2373.702836,4,36,2373.702836,0.031173248,4,25,0.16,16
tram_stop,2,2381.702836,6,36,2381.702836,0.031173248,4,25,0.16,24
tram_stop,3,2393.702836,9,36,2393.702836,0.031173248,4,25,0.16,36
tram_stop,4,2405.702836,12,36,2405.702836,0.031173248,4,25,0.16,48
train_station,0.25,1795.523223,12,27,1795.523223,0.024371812,2,13,0.153846154,24
train_station,0.5,2094.702836,25,36,2094.702836,0.031173248,11,13,0.846153846,275
train_station,0.75,2226.702836,37,36,2226.702836,0.031173248,11,13,0.846153846,407
train_station,1,2369.702836,50,36,2369.702836,0.031173248,11,13,0.846153846,550
train_station,1.5,2644.702836,75,36,2644.702836,0.031173248,11,13,0.846153846,825
train_station,2,2919.702836,100,36,2919.702836,0.031173248,11,13,0.846153846,1100
train_station,3,3469.702836,150,36,3469.702836,0.031173248,11,13,0.846153846,1650
train_station,4,4019.702836,200,36,4019.702836,0.031173248,11,13,0.846153846,2200
park_ride,0.25,1982.702836,20,32,1982.702836,0.029472889,1,7,0.142857143,20
park_ride,0.5,2169.702836,40,36,2169.702836,0.031173248,5,7,0.714285714,200
park_ride,0.75,2269.702836,60,36,2269.702836,0.031173248,5,7,0.714285714,300
park_ride,1,2369.702836,80,36,2369.702836,0.031173248,5,7,0.714285714,400
park_ride,1.5,2569.702836,120,36,2569.702836,0.031173248,5,7,0.714285714,600
park_ride,2,2769.702836,160,36,2769.702836,0.031173248,5,7,0.714285714,800
park_ride,3,3169.702836,240,36,3169.702836,0.031173248,5,7,0.714285714,1200
park_ride,4,3569.702836,320,36,3569.702836,0.031173248,5,7,0.714285714,1600
hospital,0.25,1677.030491,12,26,1677.030491,0.024560741,4,16,0.25,48
hospital,0.5,1969.702836,25,34,1969.702836,0.03079539,12,16,0.75,300
hospital,0.75,2187.702836,37,36,2187.702836,0.031173248,14,16,0.875,518
hospital,1,2369.702836,50,36,2369.702836,0.031173248,14,16,0.875,700
hospital,1.5,2719.702836,75,36,2719.702836,0.031173248,14,16,0.875,1050
hospital,2,3069.702836,100,36,3069.702836,0.031173248,14,16,0.875,1400
hospital,3,3769.702836,150,36,3769.702836,0.031173248,14,16,0.875,2100
hospital,4,4469.702836,200,36,4469.702836,0.031173248,14,16,0.875,2800
school,0.25,2337.781612,0,36,2337.781612,0.030984319,6,188,0.031914894,0
school,0.5,2345.781612,1,36,2345.781612,0.031173248,9,188,0.04787234,9
school,0.75,2355.702836,2,36,2355.702836,0.031173248,10,188,0.053191489,20
school,1,2369.702836,3,36,2369.702836,0.031173248,12,188,0.063829787,36
school,1.5,2381.702836,4,36,2381.702836,0.031173248,12,188,0.063829787,48
school,2,2404.269482,6,36,2404.269482,0.030039675,13,188,0.069148936,78
school,3,2660.269482,9,44,2660.269482,0.035707538,36,188,0.191489362,324
school,4,2960.134045,12,50,2960.134045,0.041753259,49,188,0.260638298,588
library,0.25,2318.848504,0,35,2318.848504,0.029095031,6,49,0.12244898,0
library,0.5,2355.702836,1,36,2355.702836,0.031173248,14,49,0.285714286,14
library,0.75,2355.702836,1,36,2355.702836,0.031173248,14,49,0.285714286,14
library,1,2369.702836,2,36,2369.702836,0.031173248,14,49,0.285714286,28
library,1.5,2383.702836,3,36,2383.702836,0.031173248,14,49,0.285714286,42
library,2,2397.702836,4,36,2397.702836,0.031173248,14,49,0.285714286,56
library,3,2478.702836,6,38,2478.702836,0.032117892,16,49,0.326530612,96
library,4,2512.818408,8,38,2512.818408,0.032495749,16,49,0.326530612,128
university,0.25,1916.269482,5,29,1916.269482,0.021726809,7,28,0.25,35
university,0.5,2077.702836,10,32,2077.702836,0.026450028,17,28,0.607142857,170
university,0.75,2242.702836,15,35,2242.702836,0.030228604,20,28,0.714285714,300
university,1,2369.702836,20,36,2369.702836,0.031173248,21,28,0.75,420
university,1.5,2733.615342,30,41,2733.615342,0.032495749,26,28,0.928571429,780
university,2,2993.615342,40,41,2993.615342,0.032495749,26,28,0.928571429,1040
university,3,3513.615342,60,41,3513.615342,0.032495749,26,28,0.928571429,1560
university,4,4033.615342,80,41,4033.615342,0.032495749,26,28,0.928571429,2080
shop_cluster,0.25,2243.613471,0,34,2243.613471,0.028150387,31,453,0.068432671,0
shop_cluster,0.5,2301.613471,1,35,2301.613471,0.029095031,36,453,0.079470199,36
shop_cluster,0.75,2301.613471,1,35,2301.613471,0.029095031,36,453,0.079470199,36
shop_cluster,1,2369.702836,2,36,2369.702836,0.031173248,42,453,0.092715232,84
shop_cluster,1.5,2406.702836,3,36,2406.702836,0.030228604,42,453,0.092715232,126
shop_cluster,2,2448.702836,4,36,2448.702836,0.030228604,42,453,0.092715232,168
shop_cluster,3,2874.814395,6,47,2874.814395,0.044209333,93,453,0.205298013,558
shop_cluster,4,3157.429874,8,50,3157.429874,0.046854336,105,453,0.231788079,840
simd_area,0.25,2369.702836,0,36,2369.702836,0.031173248,0,66,0,0
simd_area,0.5,2369.702836,0,36,2369.702836,0.031173248,0,66,0,0
simd_area,0.75,2369.702836,0,36,2369.702836,0.031173248,0,66,0,0
simd_area,1,2369.702836,0,36,2369.702836,0.031173248,0,66,0,0
simd_area,1.5,2369.702836,0,36,2369.702836,0.031173248,0,66,0,0
simd_area,2,2369.702836,0,36,2369.702836,0.031173248,0,66,0,0
simd_area,3,2369.702836,0,36,2369.702836,0.031173248,0,66,0,0
simd_area,4,2369.702836,0,36,2369.702836,0.031173248,0,66,0,0
