demand_type,weight_multiplier,test_weight,n_stations,gross_welfare,net_welfare,overall_coverage_rate,type_covered,type_total,type_coverage_rate,type_welfare
bus_stop,0.25,0,49,2789.043791371759,1564.0437913717592,0.036463253353485735,15,3794,0.003953610964681075,0
bus_stop,0.5,0,49,2789.043791371759,1564.0437913717592,0.036463253353485735,15,3794,0.003953610964681075,0
bus_stop,0.75,0,49,2789.043791371759,1564.0437913717592,0.036463253353485735,15,3794,0.003953610964681075,0
bus_stop,1.0,1,49,2833.043791371759,1608.0437913717592,0.041375401473644435,36,3794,0.009488666315234581,36
bus_stop,1.5,1,49,2833.043791371759,1608.0437913717592,0.041375401473644435,36,3794,0.009488666315234581,36
bus_stop,2.0,2,49,2867.3714465542066,1642.3714465542066,0.04118647269979218,41,3794,0.01080653663679494,82
bus_stop,3.0,3,50,2937.3714465542066,1687.3714465542066,0.04194218779520121,45,3794,0.011860832894043227,135
bus_stop,4.0,4,50,2984.8303306599623,1734.8303306599623,0.04269790289061024,49,3794,0.012915129151291513,196
tram_stop,0.25,0,49,2822.043791371759,1597.0437913717592,0.041375401473644435,3,25,0.12,0
tram_stop,0.5,1,49,2825.043791371759,1600.0437913717592,0.041375401473644435,3,25,0.12,3
tram_stop,0.75,2,49,2829.043791371759,1604.0437913717592,0.041375401473644435,4,25,0.16,8
tram_stop,1.0,3,49,2833.043791371759,1608.0437913717592,0.041375401473644435,4,25,0.16,12
tram_stop,1.5,4,49,2837.043791371759,1612.0437913717592,0.041375401473644435,4,25,0.16,16
tram_stop,2.0,6,49,2845.043791371759,1620.0437913717592,0.041375401473644435,4,25,0.16,24
tram_stop,3.0,9,49,2857.043791371759,1632.0437913717592,0.041375401473644435,4,25,0.16,36
tram_stop,4.0,12,49,2869.043791371759,1644.0437913717592,0.041375401473644435,4,25,0.16,48
train_station,0.25,12,41,2276.864178538216,1251.864178538216,0.03532968071037219,3,13,0.23076923076923078,36
train_station,0.5,25,49,2558.043791371759,1333.0437913717592,0.041375401473644435,11,13,0.8461538461538461,275
train_station,0.75,37,49,2690.043791371759,1465.0437913717592,0.041375401473644435,11,13,0.8461538461538461,407
train_station,1.0,50,49,2833.043791371759,1608.0437913717592,0.041375401473644435,11,13,0.8461538461538461,550
train_station,1.5,75,49,3108.043791371759,1883.0437913717592,0.041375401473644435,11,13,0.8461538461538461,825
train_station,2.0,100,49,3383.043791371759,2158.043791371759,0.041375401473644435,11,13,0.8461538461538461,1100
train_station,3.0,150,49,3933.043791371759,2708.043791371759,0.041375401473644435,11,13,0.8461538461538461,1650
train_station,4.0,200,49,4483.04379137176,3258.0437913717597,0.041375401473644435,11,13,0.8461538461538461,2200
park_ride,0.25,20,45,2446.043791371759,1321.0437913717592,0.039675042508974113,1,7,0.14285714285714285,20
park_ride,0.5,40,49,2633.043791371759,1408.0437913717592,0.041375401473644435,5,7,0.7142857142857143,200
park_ride,0.75,60,49,2733.043791371759,1508.0437913717592,0.041375401473644435,5,7,0.7142857142857143,300
park_ride,1.0,80,49,2833.043791371759,1608.0437913717592,0.041375401473644435,5,7,0.7142857142857143,400
park_ride,1.5,120,49,3033.043791371759,1808.0437913717592,0.041375401473644435,5,7,0.7142857142857143,600
park_ride,2.0,160,49,3233.043791371759,2008.0437913717592,0.041375401473644435,5,7,0.7142857142857143,800
park_ride,3.0,240,49,3633.043791371759,2408.043791371759,0.041375401473644435,5,7,0.7142857142857143,1200
park_ride,4.0,320,49,4033.043791371759,2808.043791371759,0.041375401473644435,5,7,0.7142857142857143,1600
hospital,0.25,12,40,2163.3714465542066,1163.3714465542066,0.03627432457963348,5,16,0.3125,60
hospital,0.5,25,47,2433.043791371759,1258.0437913717592,0.04099754392593992,12,16,0.75,300
hospital,0.75,37,49,2651.043791371759,1426.0437913717592,0.041375401473644435,14,16,0.875,518
hospital,1.0,50,49,2833.043791371759,1608.0437913717592,0.041375401473644435,14,16,0.875,700
